Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
Cre01.g047050.t1.2	0	0	5.30615	2.84536	25.929	33.8406	4.06819	0	0	0
Cre01.g047001.t1.1	47.4554	47.9218	33.0547	31.8291	9.23292	8.1674	14.6289	13.0975	4.74206	6.87641
Cre01.g046950.t1.2	0	0	0	0	0.185384	0	0	0	0	0
Cre01.g046850.t1.2	25.7252	25.112	26.5584	23.8472	10.9041	13.5287	21.2557	17.2526	17.3743	17.2396
Cre04.g219700.t1.1	0	0.343206	0	0	0	0.623855	0.464058	0.455309	0	0
Cre01.g046800.t1.1	158.987	151.327	75.1799	76.057	70.1045	62.7825	72.2647	72.7675	82.4338	79.1923
Cre01.g046650.t1.2	1.02293	1.1749	0	0	0	0.048105	0.174687	0.116191	0	0
Cre01.g046600.t1.1	0.263979	0.263633	2.01676	2.13046	2.33252	1.53533	1.9798	1.97505	3.11974	4.22105
Cre01.g046500.t1.2	4.47075	5.20047	0.598123	1.09369	0.980138	0.862943	2.87961	3.22438	0	0
Cre01.g046450.t1.2	0.609885	0.332079	2.61968	2.18676	1.10549	1.4608	4.28861	0.332706	0	0
Cre01.g046324.t1.1	1.04575	0.792316	1.09353	0.88905	0.067897	0.101645	0.451264	0.532067	0	0
Cre01.g046250.t1.2	1.0443	0.96126	0.629691	0.723443	1.17276	1.40354	1.61698	1.32527	2.17562	1.90872
Cre01.g046150.t1.1	12.1401	9.81748	6.40506	4.68262	3.14268	3.18255	5.64232	7.18934	9.02122	9.3039
Cre01.g046052.t1.1	4.5046	4.9687	1.71987	2.07308	1.17309	1.25657	1.77982	1.24134	2.61628	2.51293
Cre01.g045903.t1.1	11.0975	11.9912	5.3971	5.99017	6.37497	6.44542	6.9262	7.21692	9.20663	8.92711
Cre01.g045902.t1.1	5.60609	5.51273	8.52564	9.20755	16.5534	17.1682	16.4273	15.312	13.3671	14.3237
Cre01.g045850.t1.1	0.466952	0.706115	0.405661	0.607192	1.13043	0.873438	1.21812	1.49713	1.18274	1.09493
Cre01.g045825.t1.1	1.60854	2.46288	6.15065	5.29268	1.10335	1.32804	3.88476	3.99572	2.72836	3.62666
Cre01.g045800.t1.1	6.88065	7.97319	8.85159	7.41819	7.85042	7.29242	7.99793	7.97876	7.20481	8.50894
Cre01.g045752.t1.1	1.74169	1.53837	3.05167	2.76596	2.43938	2.18369	2.26817	2.11841	4.61268	6.36427
Cre01.g045640.t1.2	4.78645	4.83052	2.54717	2.82369	5.874	5.38934	6.06981	5.1413	1.70091	1.2718
Cre01.g045601.t1.2	1.42716	1.63814	2.32002	2.45825	1.46587	1.74368	3.37184	3.09793	4.9316	4.42499
Cre12.g548702.t1.1	0.460342	0.940209	0	0	0	0	0	2.03161	0	0
Cre01.g045550.t1.2	167.156	165.641	430.779	425.585	400.071	395.372	388.855	392.438	463.372	459.724
Cre01.g045500.t1.2	6.35803	6.51021	3.9372	3.86931	2.20454	2.16706	2.76383	3.66335	3.16747	3.15787
Cre01.g045450.t1.2	27.2102	23.7952	18.7555	20.9013	19.7424	20.2642	30.7016	28.6687	18.2772	20.4397
Cre01.g045426.t1.1	2.94007	1.94919	0	0	0	0	0.72192	0.71604	0	0
Cre12.g551000.t1.2	1.95852	2.193	8.40256	8.11675	3.23378	2.83761	5.46021	4.50552	0	0
Cre01.g045400.t2.1	3.42821	3.48014	0	0	2.10959	2.00264	1.89342	2.47818	2.08707	1.90671
Cre01.g045400.t1.1	0.271915	0.489702	2.21406	2.15884	0.136164	0.233369	0	0	0	0
Cre01.g045200.t1.1	29.5237	27.9838	11.822	16.2818	562.164	580.2	200.998	191.291	356.497	350.899
Cre01.g045100.t1.2	84.1536	84.4353	110.006	108.71	64.835	70.7916	114.442	119.712	115.046	110.658
Cre01.g045050.t1.2	0	0	0	0	0.05137	0	0	0	0	0
Cre01.g045000.t1.2	0.436264	0.726118	0	0	1.43271	1.90621	3.46542	2.63378	0	0
Cre01.g044950.t1.2	0	0	0	0	0	0	0	0	0	0
Cre01.g044900.t1.2	0.643158	4.37932	0	0	0.675994	0	0	0.847331	0	0
Cre01.g055600.t1.1	3.11407	3.12508	2.06444	2.0767	1.13299	0.977298	2.90595	2.37683	0.187163	0.155496
Cre01.g044850.t1.2	1.1286	1.00066	1.19915	1.41302	1.17937	1.25683	2.08476	2.17624	2.54994	2.97225
Cre01.g044800.t1.2	244.988	244.812	659.699	667.262	423.091	421.877	540.563	545.423	495.557	489.949
Cre01.g044700.t1.2	11.987	12.9482	18.28	17.6885	11.6038	12.6116	16.3916	18.8461	20.1487	17.3833
Cre01.g044550.t1.2	14.7671	15.0546	29.3954	34.8949	20.7013	21.2271	43.1459	37.9536	30.7774	29.0328
Cre01.g044400.t1.2	12.3971	11.1511	22.0256	22.819	18.344	19.9832	27.557	24.171	28.6613	23.1786
Cre01.g044300.t1.2	0.50698	0.511325	0	0	0	0.024936	0	0	0	0
