Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
CHLRE_13g567400v5	0.69931	0.698451	1.86477	2.07627	1.43435	1.48102	2.21056	2.5036	2.391	2.71381
CHLRE_06g284900v5	91.3745	109.142	393.231	398.117	117.538	146.429	375.852	389.646	364.014	346.929
CHLRE_13g567450v5	2.41125	1.58022	0.084693	0.506924	0.918906	1.34014	1.62433	1.1939	4.46114	2.3826
CHLRE_03g174700v5	1.77438	1.26576	2.27823	2.27299	1.76357	1.33188	2.99607	4.08102	0.962732	0
CHLRE_13g567500v5	4.27961	3.82179	3.31638	3.06491	0.75973	0.916286	1.10888	1.1636	3.03665	3.09785
CHLRE_07g323600v5	38.8608	42.6826	96.3468	92.7755	85.1879	85.4451	84.898	89.5013	122.449	118.382
CHLRE_01g001983v5	6.7577	1.28538	5.57487	2.91889	1.50859	0	1.34876	10.1672	0	0
CHLRE_13g567550v5	3.25446	9.27026	0	0	0	0	0	4.89035	0	0
CHLRE_13g567550v5	4.67412	0	5.4476	5.5341	7.54833	7.07794	6.66696	0	3.06804	2.22451
CHLRE_13g567600v5	172.525	175.671	384.39	381.068	409.036	403.633	402.209	391.407	396.158	375.823
CHLRE_13g567650v5	3.51879	3.61754	22.6733	24.1872	16.0047	13.8846	24.2281	23.2901	18.5633	20.7929
CHLRE_13g567750v5	24.792	26.6104	21.1207	21.4382	19.1528	17.4782	24.9495	24.3954	17.9411	16.8546
CHLRE_12g537371v5	167.849	170.922	12.1699	11.7448	5.61916	6.31664	10.5896	12.4198	6.13887	5.22458
CHLRE_06g279850v5	44.3478	44.4039	76.2436	76.3715	45.7231	51.6802	71.2087	66.3852	45.4507	43.2903
CHLRE_13g567800v5	170.927	165.644	195.97	197.104	84.0181	80.2718	148.593	151.078	137.633	140.773
CHLRE_13g567850v5	34.6215	31.7815	109.73	105.274	92.6692	98.6211	83.2806	86.1413	78.8158	78.7484
CHLRE_06g278224v5	1.88529	1.34475	5.3494	6.34281	8.99933	7.04931	7.73343	8.01822	2.66083	3.78956
CHLRE_13g567950v5	124.288	123.481	220.256	222.523	178.336	178.116	202.216	194.331	216.575	208.733
CHLRE_03g209281v5	3.784	2.99736	2.05136	1.54981	2.21314	2.57705	3.92163	3.11232	3.62662	4.38256
CHLRE_13g568025v5	3.56788	3.77234	6.01857	7.1801	11.5847	10.8727	15.4461	15.643	0	0
CHLRE_02g117250v5	0	0	0	0	0	0	0	0	0	0
CHLRE_13g602350v5	49.4162	49.8893	62.0718	60.0876	117.044	106.085	71.8041	65.1757	66.8744	64.5685
CHLRE_02g146400v5	52.0311	54.3283	39.1364	39.9755	14.7922	13.8479	30.1392	30.3167	36.4061	32.5904
CHLRE_13g568176v5	4.65159	4.17877	3.06769	2.48195	1.36847	1.2964	2.46591	3.49469	1.13994	1.49809
CHLRE_13g568200v5	17.7812	17.9258	21.2627	21.2153	6.2598	5.07606	19.6857	19.9826	15.5298	13.8947
CHLRE_06g256800v5	1.14117	0	0	0	0	0	0	0	0	0
CHLRE_03g161578v5	0	0	0	0	0	0	0	0	0	0
CHLRE_04g219550v5	0.737565	0.396626	0.828717	0.445193	3.19875	3.67099	5.86525	5.40101	0.479097	0.358229
CHLRE_07g327600v5	0	0	0	0	0	0	0	0	0	0
CHLRE_02g095061v5	6.80536	7.6712	9.61061	8.80197	1.15647	1.70964	3.14765	3.56654	0	0
CHLRE_13g568250v5	2.22444	2.44383	1.35995	1.32932	1.65377	1.48787	2.21469	1.61338	2.3416	2.54201
CHLRE_13g568350v5	1.55034	1.50768	0	0	0.057696	0.019196	0	0	0	0
CHLRE_13g568400v5	34.8029	33.6489	56.1901	56.1099	56.905	56.0966	62.1768	64.504	71.7267	74.2756
CHLRE_13g568600v5	1.52052	2.94284	4.96065	5.84172	0	0	4.13293	5.43049	0	0
CHLRE_10g433450v5	4.58303	4.37586	3.11192	3.66928	2.08347	2.5518	1.94612	2.11278	3.50668	3.91976
CHLRE_14g612900v5	39.9544	40.4041	31.1601	29.0043	27.2923	27.6722	38.5851	39.296	28.4444	27.1822
CHLRE_13g573450v5	3.41754	3.23472	4.46197	4.89768	2.64141	2.59902	5.45381	5.57688	7.56848	7.00359
CHLRE_13g568650v5	4914.42	4912.96	3102.69	3113.82	3305.44	3251.62	3135.9	3157.86	3446.55	3451.99
CHLRE_11g467575v5	10.9149	10.7731	21.5514	21.3473	3.61457	3.94146	17.5708	21.5434	19.5552	20.0089
CHLRE_03g176930v5	4.56426	6.32983	4.70705	5.97463	10.0623	10.1566	9.46021	8.29124	2.42336	4.83182
CHLRE_13g568672v5	3.08148	2.1537	1.73427	1.90227	2.29611	3.57871	1.56475	3.12081	0	0
CHLRE_13g568850v5	78.8065	78.8299	104.56	99.4208	84.0392	80.1635	103.916	96.1729	131.141	137.856
CHLRE_04g217935v5	2.38135	2.30687	4.12113	3.95189	0.371448	0.404455	4.54809	4.55813	2.71251	2.85453
CHLRE_13g568900v5	5534.1	5604.22	4262	4259.41	5723.88	5738.93	4487.29	4458.09	4495.22	4500.14
CHLRE_13g569100v5	0.492401	0.717428	0.676125	1.34912	0.567675	0.513105	0.969558	0.577452	0.115472	0
CHLRE_16g677500v5	158.102	156.19	199.393	191.261	83.8344	78.6906	150.532	141.753	113.79	117.92
CHLRE_13g569150v5	2.46563	0.519809	0	0	4.04297	0.480734	6.28345	9.10766	0	0
CHLRE_13g569300v5	5.61029	5.35309	5.43923	4.50933	3.97732	4.04041	6.1891	5.3859	3.60187	3.66574
