Cre13.g586700.t1.1	CHLRE_13g586700v5
Cre11.g467692.t1.1	CHLRE_11g467692v5
Cre03.g183400.t1.1	CHLRE_03g183400v5
Cre17.g732250.t1.1	CHLRE_17g732250v5
Cre16.g679550.t1.1	CHLRE_16g679550v5
Cre15.g637401.t1.1	CHLRE_15g637401v5
Cre04.g214500.t1.1	CHLRE_04g214433v5
Cre04.g217915.t1.1	CHLRE_04g217914v5
Cre11.g467735.t1.1	CHLRE_11g467735v5
Cre12.g539100.t1.1	CHLRE_12g539100v5
Cre16.g659900.t1.1	CHLRE_16g659900v5
Cre12.g510400.t1.1	CHLRE_12g510400v5
Cre03.g211185.t1.1	CHLRE_03g211073v5
Cre08.g377200.t1.1	CHLRE_08g377150v5
Cre07.g344050.t1.1	CHLRE_07g344000v5
Cre02.g079926.t1.1	CHLRE_02g079926v5
Cre16.g651600.t1.1	CHLRE_16g651600v5
Cre06.g276001.t1.1	CHLRE_06g275950v5
Cre07.g355600.t1.1	CHLRE_07g355550v5
Cre10.g463450.t1.1	CHLRE_10g463450v5
Cre18.g748397.t1.1	CHLRE_18g748397v5
Cre01.g009676.t1.1	CHLRE_01g009676v5
Cre03.g167101.t1.1	CHLRE_03g167101v5
Cre06.g302700.t1.1	CHLRE_06g302650v5
Cre14.g615950.t1.1	CHLRE_14g615950v5
Cre14.g624850.t1.1	CHLRE_14g624850v5
Cre06.g311850.t1.1	CHLRE_06g311800v5
Cre12.g561050.t1.1	CHLRE_12g561050v5
Cre10.g444100.t1.1	CHLRE_10g444094v5
Cre12.g537226.t1.1	CHLRE_12g537226v5
Cre01.g038550.t1.1	CHLRE_01g038550v5
Cre03.g171950.t1.1	CHLRE_03g171950v5
Cre06.g307100.t1.1	CHLRE_06g307075v5
Cre09.g398067.t1.1	CHLRE_09g398051v5
Cre12.g544050.t1.1	CHLRE_12g544050v5
Cre09.g393543.t1.1	CHLRE_09g393506v5
Cre06.g296250.t1.1	CHLRE_06g296200v5
Cre16.g691353.t1.1	CHLRE_16g691353v5
Cre02.g095066.t1.1	CHLRE_02g095066v5
Cre01.g007901.t1.1	CHLRE_01g007901v5
Cre03.g193700.t1.1	CHLRE_03g193700v5
Cre09.g399912.t1.1	CHLRE_09g399911v5
Cre01.g041000.t1.1	CHLRE_01g041000v5
Cre06.g278500.t1.1	CHLRE_06g278451v5
Cre02.g095105.t1.1	CHLRE_02g095105v5
Cre07.g346450.t1.1	CHLRE_07g346418v5
Cre09.g395750.t1.1	CHLRE_09g395732v5
Cre02.g085850.t1.1	CHLRE_02g085850v5
Cre06.g262100.t1.1	CHLRE_06g262050v5
