Cre03.g200651.t1.1	CHLRE_03g200650v5
Cre10.g453550.t1.1	CHLRE_10g453500v5
Cre11.g467563.t1.1	CHLRE_11g467563v5
Cre02.g095123.t1.1	CHLRE_02g095123v5
Cre12.g546900.t1.1	CHLRE_12g546900v5
Cre05.g243602.t1.1	CHLRE_05g243601v5
Cre16.g673050.t1.1	CHLRE_16g673050v5
Cre11.g467575.t1.1	CHLRE_11g467575v5
Cre17.g717400.t1.1	CHLRE_17g717400v5
Cre11.g467850.t1.1	CHLRE_11g467850v5
Cre10.g461100.t1.1	CHLRE_10g461100v5
Cre07.g348200.t1.1	CHLRE_07g348150v5
Cre06.g278092.t1.1	CHLRE_06g278091v5
Cre09.g388350.t1.1	CHLRE_09g388319v5
Cre16.g674900.t1.1	CHLRE_16g674900v5
Cre14.g620951.t1.1	CHLRE_14g620951v5
Cre16.g659750.t1.1	CHLRE_16g659750v5
Cre16.g673450.t1.1	CHLRE_16g673450v5
Cre16.g673250.t1.1	CHLRE_16g673250v5
Cre10.g423400.t1.1	CHLRE_10g423350v5
Cre16.g670500.t1.1	CHLRE_16g670500v5
Cre12.g542000.t1.1	CHLRE_12g542000v5
Cre12.g487101.t1.1	CHLRE_12g487101v5
Cre01.g003751.t1.1	CHLRE_01g003751v5
Cre04.g217936.t1.1	CHLRE_04g217935v5
Cre02.g101600.t1.1	CHLRE_02g101600v5
Cre11.g467684.t1.1	CHLRE_11g467684v5
Cre14.g627466.t1.1	CHLRE_14g627466v5
Cre10.g417600.t1.1	CHLRE_10g417576v5
Cre14.g610850.t1.1	CHLRE_14g610850v5
Cre06.g258550.t1.1	CHLRE_06g258500v5
Cre09.g402515.t1.1	CHLRE_09g402500v5
Cre14.g622000.t1.1	CHLRE_14g622000v5
Cre03.g184050.t1.1	CHLRE_03g184050v5
Cre03.g163800.t1.1	CHLRE_03g163800v5
Cre09.g399402.t1.1	CHLRE_09g399400v5
Cre14.g622270.t1.1	CHLRE_14g622270v5
Cre08.g362019.t1.1	CHLRE_08g362000v5
Cre12.g501702.t1.1	CHLRE_12g501702v5
Cre03.g199087.t1.1	CHLRE_03g199050v5
Cre16.g648950.t1.1	CHLRE_16g648950v5
Cre01.g021000.t1.1	CHLRE_01g021000v5
Cre11.g475700.t1.1	CHLRE_11g475700v5
Cre08.g373352.t1.1	CHLRE_08g373351v5
Cre16.g676670.t1.1	CHLRE_16g676670v5
Cre12.g553552.t1.1	CHLRE_12g553552v5
Cre22.g754147.t1.1	CHLRE_22g754147v5
Cre04.g216650.t1.1	CHLRE_04g216600v5
Cre16.g678997.t1.1	CHLRE_16g678997v5
Cre16.g689759.t1.1	CHLRE_16g689759v5
Cre10.g449020.t1.1	CHLRE_10g449000v5
Cre07.g346525.t1.1	CHLRE_07g346500v5
Cre08.g358545.t1.1	CHLRE_08g358544v5
Cre01.g022600.t1.1	CHLRE_01g022600v5
