,,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cre06.g260700.t1.2.v5.5,CHLRE_06g260700v5,425.797306232396,6.14480914095504,0.729327229111419,7.05418491946784,1.73615369364379e-12,2.31202251879703e-09
Cre03.g145787.t1.1.v5.5,CHLRE_03g145787v5,65.7781104455068,6.13395437035527,0.863524875735558,5.94534623682048,2.75873106970081e-09,1.76885749180224e-06
Cre11.g467674.t1.1.v5.5,CHLRE_11g467674v5,17.5062935601069,6.11799029933249,0.859579922896016,5.9540598413344,2.61571089219699e-09,1.74166103714286e-06
Cre10.g442800.t1.1.v5.5,CHLRE_10g442800v5,178.540655141804,6.0908318589251,0.940577582490369,5.41245289457792,6.21672118599642e-08,2.15511483831791e-05
Cre12.g488800.t1.1.v5.5,CHLRE_12g488800v5,257.282158280323,5.9931020137464,0.678774759312538,7.35605139295898,1.89430108569565e-13,3.2794140395563e-10
Cre07.g334150.t1.1.v5.5,CHLRE_07g334150v5,104.86992882494,5.91277882640148,1.06744691394377,4.60236360443522,4.17723118599786e-06,0.000860907455857082
Cre13.g587300.t1.1.v5.5,CHLRE_13g587300v5,18.9441852757561,5.90624905276368,1.10303526016351,4.44795305277585,8.66924707874874e-06,0.00156335422320102
Cre10.g433476.t1.1.v5.5,CHLRE_10g433476v5,24.4590304870684,5.81798225610368,1.32371319178263,3.63974785928919,0.000272905137428604,0.0249975330114497
Cre10.g463350.t1.2.v5.5,CHLRE_10g463350v5,327.854630191215,5.77497306352688,0.774564654853311,6.16471850814207,7.06086331432806e-10,5.55625753171125e-07
Cre01.g012700.t1.2.v5.5,CHLRE_01g012700v5,35.8596032808505,5.74128310247225,1.0488082360602,4.52063870158256,6.16533341933845e-06,0.00119926126017514
Cre03.g159254.t1.2.v5.5,CHLRE_03g159254v5,58.3918863593237,5.71657792679843,1.05711124572494,4.46176118726646,8.12887885056961e-06,0.00151047084672968
Cre09.g410850.t1.2.v5.5,CHLRE_09g410850v5,11.3846433369261,5.65626843758216,1.20575197578483,3.86171329684232,0.000112594651174637,0.0126872002951766
Cre03.g170850.t1.1.v5.5,CHLRE_03g170850v5,17.2265360704235,5.6356051658244,1.16493156051158,3.9792939971415,6.91202228122811e-05,0.00848659076117879
Cre09.g398051.t1.1.v5.5,CHLRE_09g398051v5,18.5393742731178,5.60424940297378,1.14767307082375,4.01181270173835,6.02542974403969e-05,0.00756562914974483
Cre08.g359600.t1.2.v5.5,CHLRE_08g359600v5,141.195602203434,5.41981628362796,0.750200336315774,5.891514665714,3.82671690404287e-09,2.20827076809301e-06
Cre11.g467721.t1.1.v5.5,CHLRE_11g467721v5,121.283427486913,5.34563093730569,0.755245493676098,5.75393163374424,8.71914291585282e-09,4.19293894886789e-06
Cre03.g144564.t1.1.v5.5,CHLRE_03g144564v5,143.371176341613,5.20058678933994,0.717945118249715,5.85084664908731,4.89076998822874e-09,2.73125838826503e-06
Cre16.g661200.t1.2.v5.5,CHLRE_16g661200v5,57.6465252085619,5.17547378290021,1.0874357872735,3.83974284437452,0.000123163249330239,0.0135809055567204
Cre12.g510350.t1.1.v5.5,CHLRE_12g510350v5,7.40434756407985,5.16403064395673,1.1167178493535,3.72881175524097,0.000192384796011087,0.0188167547375363
Cre01.g010832.t1.1.v5.5,CHLRE_01g010832v5,27.3121147847335,5.15758630304161,1.05096228314871,3.9559805044434,7.62213771687838e-05,0.0091179328127929
Cre02.g087900.t1.1.v5.5,CHLRE_02g087900v5,30.8863738533193,5.09668862292555,1.11006926303795,3.69048018833892,0.000223831122053208,0.0215275799165841
Cre09.g402515.t1.1.v5.5,CHLRE_09g402515v5,56.3741163823009,5.08466792206653,1.02751327354109,3.97529455555319,7.02922016927536e-05,0.00854795232385909
Cre17.g697300.t1.1.v5.5,CHLRE_17g697300v5,31.5534581889012,5.05543635172854,0.841645655992844,4.81846050395705,1.44670155915076e-06,0.000333937298560239
Cre03.g201550.t1.2.v5.5,CHLRE_03g201550v5,64.6509668424664,5.0149944329617,0.866611917683081,4.63297855826392,3.60441883215767e-06,0.000770366652127328
Cre12.g551350.t1.2.v5.5,CHLRE_12g551350v5,180.277849509334,4.94185429657817,1.01553876838778,3.88153994636369,0.000103797097734141,0.0118219431314042
Cre13.g584200.t1.2.v5.5,CHLRE_13g584200v5,223.102074536092,4.92023754105917,0.770345831402665,5.08893198515932,3.60085722492625e-07,0.000103009910089193
