,,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cre16.g674300.t1.1.v5.5,CHLRE_16g674300v5,426.672504462016,-3.21487379967834,0.514369883750088,-4.30599432363825,1.66237319133305e-05,0.00279407812508327
Cre14.g625100.t1.2.v5.5,CHLRE_14g625100v5,16.6503661682705,-3.21538277889308,0.62655553595768,-3.53581231312067,0.000406523403532993,0.0338352555863614
Cre14.g620702.t1.1.v5.5,CHLRE_14g620702v5,1615.0017093999,-3.35691088662272,0.626111174474709,-3.76436483281121,0.000166972955934421,0.0171043539238858
Cre10.g436500.t1.2.v5.5,CHLRE_10g436500v5,67.8333275035371,-3.36600010881493,0.437444398363022,-5.40868763588889,6.34882490493377e-08,2.15511483831791e-05
Cre10.g431900.t1.2.v5.5,CHLRE_10g431900v5,156.56669579597,-3.40246231542662,0.451995268850044,-5.31523774914483,1.06518157614664e-07,3.41489323078715e-05
Cre12.g527250.t1.2.v5.5,CHLRE_12g527250v5,229.907806656338,-3.48343529185142,0.670493565298139,-3.70389131288255,0.000212317254503238,0.0206496421907868
Cre08.g367500.t1.1.v5.5,CHLRE_08g367500v5,837.717959074662,-3.53665534619152,0.574803159672975,-4.41308525101829,1.01907844323025e-05,0.0017820490918386
Cre17.g705700.t1.2.v5.5,CHLRE_17g705700v5,620.312402160459,-3.62898000312321,0.332541470760281,-7.90572074247652,2.66387760996282e-15,7.68617486394604e-12
Cre06.g292249.t1.1.v5.5,CHLRE_06g292249v5,490.357054498289,-3.64334444135626,0.643898727249416,-4.10521768329625,4.0393432524044e-05,0.00568529352728658
Cre09.g386155.t1.1.v5.5,CHLRE_09g386155v5,114.849477128789,-3.65434334017249,0.673538745970684,-3.94089182849775,8.1179230100244e-05,0.00962585501024263
Cre04.g223300.t1.2.v5.5,CHLRE_04g223300v5,1666.1413377747,-3.87802632018985,0.629279634610538,-4.57352528494119,4.79585771990613e-06,0.000965417312174592
Cre42.g760347.t1.1.v5.5,CHLRE_42g760347v5,190.807089250458,-3.95633695812608,0.822979037300205,-3.59223847040429,0.000327849619914115,0.0284853195736668
Cre16.g655200.t2.1.v5.5,CHLRE_16g655200v5,1124.32091554866,-3.95778698180314,0.452520901189615,-6.53624390393355,6.30830103942018e-11,6.82558172465264e-08
Cre08.g373372.t1.1.v5.5,CHLRE_08g373372v5,103.544876575272,-3.96322527310784,0.598267814385025,-4.95300800387167,7.30749677887899e-07,0.000197667787868677
Cre11.g467572.t1.1.v5.5,CHLRE_11g467572v5,73.3867242376787,-3.99512117195914,0.582513377177183,-5.14172084162818,2.72233408181531e-07,8.26825396919065e-05
Cre07.g325760.t1.1.v5.5,CHLRE_07g325760v5,135.917191127076,-4.05927280538287,0.620940897209069,-4.92683413048379,8.35726413227209e-07,0.00021921357069378
Cre07.g353250.t1.2.v5.5,CHLRE_07g353250v5,536.035452281102,-4.07928883193752,0.473803273467793,-6.49908728869691,8.08087668754909e-11,8.22918454204999e-08
Cre12.g543303.t2.1.v5.5,CHLRE_12g543303v5,57.0991656283403,-4.13724826954118,0.83601307731132,-3.75263061629467,0.000174988604662551,0.0178200160230475
Cre12.g488351.t1.1.v5.5,CHLRE_12g488351v5,50.6674569245595,-4.13952184048577,0.725394626797309,-4.32801915606555,1.50456386335844e-05,0.00255362839239817
Cre06.g269100.t1.1.v5.5,CHLRE_06g269100v5,29.0829240725433,-4.15151381077595,0.864242833100688,-3.64656053839533,0.000265773885167021,0.0244738164894227
Cre08.g367400.t1.1.v5.5,CHLRE_08g367400v5,1181.56093795498,-4.19187147571797,0.562930432295881,-5.67009934549123,1.42714740431667e-08,6.67750699014329e-06
Cre03.g151650.t1.1.v5.5,CHLRE_03g151650v5,108.335408659248,-4.33552137958242,0.739525387454648,-4.51035412193604,6.47194949189288e-06,0.00123123505058956
Cre11.g467672.t1.1.v5.5,CHLRE_11g467672v5,38.6000699374054,-4.57992965939123,0.736489264709623,-4.86080358659768,1.16910205341969e-06,0.000281104093733357
