"","CONTROL_mean","SALT_mean","M","D","prob","ranking"
"Cre09.g396549.t1.1.v5.5",7.67554700021108,3.41506666662284,1.16835582614353,4.26048033358824,0.57809275551211,4.41777636479889
"Cre09.g412350.t2.1.v5.5",1.72860750004754,5.04650449993524,-1.54567411411733,3.3178969998877,0.578068996415771,-3.6602662429004
"Cre13.g571150.t1.2.v5.5",185.796541505109,281.918969996382,-0.601556911390637,96.1224284912727,0.578031660692951,-96.1243108156177
"Cre14.g625100.t1.2.v5.5",0.261955000007204,2.61083283329983,-3.31711918306664,2.34887783329262,0.577980748343652,-4.06454262499511
"Cre12.g535900.t1.1.v5.5",48.3421455013294,30.4309658329428,0.667741380082536,17.9111796683866,0.577967171717172,17.9236222807752
"Cre10.g422600.t1.1.v5.5",108.476414502983,166.073332164535,-0.61443902721316,57.5969176615523,0.577953595090692,-57.6001949599981
"Cre04.g223225.t1.1.v5.5",34.327882500944,54.3257283326362,-0.662254743334825,19.9978458316921,0.577936624307592,-20.0088085415698
"Cre17.g737400.t2.1.v5.5",0.437558500012033,2.88162149996302,-2.71933303229932,2.44406299995099,0.577933230150972,-3.65625711463016
"Cre02.g096400.t1.2.v5.5",1.03909850002858,3.91069116661648,-1.91209118951395,2.8715926665879,0.577885711958293,-3.44994741406566
"Cre05.g236650.t1.1.v5.5",0.189705500005217,2.49654799996796,-3.71810123339678,2.30684249996274,0.577834799608993,-4.37559128592022
"Cre13.g580100.t1.2.v5.5",20.2111025005558,11.6865591665167,0.790297797159701,8.52454333403912,0.577749945693494,8.56109862471554
"Cre06.g258400.t1.2.v5.5",3.64770650010031,8.02428499989702,-1.13738319452556,4.37657849979671,0.577743157380254,-4.52195531778809
"Cre07.g358001.t1.1.v5.5",3.77473400010381,0.959100166654358,1.97662158280715,2.81563383344945,0.577743157380254,3.44017830434474
"Cre06.g311250.t1.1.v5.5",4.76476000013103,1.55932466664666,1.61148220521753,3.20543533348438,0.577699033344195,3.58771383681626
"Cre11.g481500.t1.2.v5.5",5.54795250015257,10.9779139998591,-0.984576601586628,5.42996149970655,0.577536113826436,-5.51850278360782
"Cre03.g177950.t1.1.v5.5",3.86287800010623,1.01643766665362,1.92615436998106,2.84644033345261,0.577461442380797,3.43690169031686
"Cre17.g709350.t1.2.v5.5",21.5864460005936,35.1687561662153,-0.70416857409746,13.5823101656217,0.577454654067557,-13.6005515629293
"Cre06.g269850.t1.1.v5.5",20.1659840005546,11.6824814998501,0.787577051282752,8.48350250070449,0.577427500814598,8.51998194195073
"Cre03.g162000.t1.2.v5.5",61.5059445016914,39.2983094994957,0.646258599325946,22.2076350021957,0.577332464429239,22.217036313783
"Cre17.g728050.t1.2.v5.5",47.3311425013016,29.816634166284,0.666672337938544,17.5145083350176,0.57723403388726,17.5271918521928
"Cre03.g193750.t1.1.v5.5",102.822954502828,156.541786497991,-0.606385442488206,53.7188319951634,0.5771899098512,-53.722254366598
"Cre03.g179500.t1.2.v5.5",0.31527700000867,2.68706949996552,-3.09134180463216,2.37179249995685,0.577132209188661,-3.89638214449224
"Cre10.g453650.t1.2.v5.5",3.97406600010929,1.08393066665276,1.87434335461327,2.89013533345653,0.577091479309221,3.44471265226532
"Cre07.g357450.t1.1.v5.5",10.0702705002769,4.99564333326922,1.01136005276792,5.07462716700771,0.577077902682741,5.17442654218488
"Cre17.g743397.t2.1.v5.5",13.8432525003807,7.47637483323739,0.888772140415019,6.3668776671433,0.577077902682741,6.42861160328932
"Cre08.g385600.t2.1.v5.5",8.9490025002461,4.27075766661186,1.06723484326063,4.67824483363424,0.576952318887803,4.79843359171459
"Cre06.g285350.t2.1.v5.5",6.20765400017071,2.4807348333015,1.32328061414018,3.72691916686921,0.576901406538503,3.95487016982054
"Cre01.g024400.t1.1.v5.5",13.3641550003675,7.16786383324134,0.898753484450107,6.19629116712617,0.576816552623004,6.26113264941871
"Cre06.g254175.t1.1.v5.5",2.12464400005843,5.65947949992737,-1.41344824787988,3.53483549986894,0.576721516237645,-3.80695389525122
"Cre16.g689300.t1.1.v5.5",3.57978650009844,0.854740999989031,2.06631431517731,2.72504550010941,0.576626479852286,3.4198724869172
"Cre10.g439000.t1.1.v5.5",7.35779800020234,3.22092166662533,1.19180049478471,4.13687633357701,0.576589144129467,4.30512882718724
"Cre03.g144947.t1.1.v5.5",53.5759015014733,83.0580618322674,-0.632535985939196,29.4821603307941,0.576371918105789,-29.4889450395255
"Cre08.g358556.t2.1.v5.5",506.000027013915,335.193755995698,0.594142187241284,170.806271018217,0.576371918105789,170.807304363974
"Cre01.g040850.t2.1.v5.5",6.06771250016686,2.39695049996924,1.33995261371704,3.67076200019762,0.57633458238297,3.90768047172514
"Cre05.g246753.t1.1.v5.5",15.63751400043,8.67217933322204,0.850544680244115,6.96533466720799,0.576202210274791,7.01707298517701
"Cre06.g250150.t2.1.v5.5",2.79880350007697,0.394417333328272,2.82701534108177,2.4043861667487,0.576202210274791,3.71121120088364
"Cre16.g689150.t1.2.v5.5",0.0254840000007008,2.26961483330421,-6.47671193181777,2.24413083330351,0.576137721299012,-6.85448179257441
"Cre07.g349400.t1.1.v5.5",9.37233250025774,4.55390549994156,1.04130378349806,4.81842700031618,0.576073232323232,4.92966046771006
"Cre16.g679151.t1.1.v5.5",12.2846920003378,6.46170149991707,0.926875675594334,5.82299050042075,0.576046079070273,5.89629687905882
"Cre02.g143400.t1.1.v5.5",5.98217950016451,2.33964016663664,1.35438453794183,3.64253933352787,0.576015531660693,3.88618711244242
"Cre08.g361400.t1.2.v5.5",9.96090600027392,4.93628883326998,1.01285015720592,5.02461716700394,0.575995166720973,5.12568464850334
"Cre14.g630301.t1.1.v5.5",1.31867300003626,4.35515199994411,-1.72363621704264,3.03647899990785,0.575991772564353,-3.49157937409167
"Cre11.g482250.t1.1.v5.5",3.45310200009496,7.69032499990131,-1.15515161890112,4.23722299980635,0.575978195937873,-4.39185997189548
"Cre01.g035100.t1.2.v5.5",68.1931890018753,43.8731916661036,0.63628799030681,24.3199973357717,0.575964619311394,24.3283195642147
"Cre08.g372000.t1.2.v5.5",6.66322000018324,12.5792854998386,-0.916758546731675,5.91606549965533,0.575937466058434,-5.98667497273884
"Cre06.g280900.t3.1.v5.5",20.509188500564,11.9032119998472,0.784919481565098,8.60597650071676,0.575906918648854,8.64169717841522
"Cre16.g666050.t1.2.v5.5",10.2762570002826,18.0351176664352,-0.811493959369467,7.75886066615262,0.575906918648854,-7.80118204395099
"Cre07.g317550.t1.1.v5.5",11.6078800003192,5.9945228332564,0.953387686192855,5.61335716706281,0.575862794612795,5.69374452932336
"Cre13.g568650.t1.2.v5.5",4913.69277913513,3291.55966929109,0.578036307171346,1622.13310984403,0.575811882263495,1622.13321283372
"Cre01.g027500.t1.1.v5.5",2.29702550006317,5.90304016659091,-1.3616912858252,3.60601466652774,0.575801699793635,-3.85454860302805
"Cre04.g232602.t1.1.v5.5",17.7338590004877,29.2775911662909,-0.723290349775665,11.5437321658033,0.575788123167155,-11.5663694064248
"Cre12.g553900.t1.1.v5.5",4.68268050012877,1.5197709999805,1.62348065225531,3.16290950014828,0.575710057564896,3.55523359772259
"Cre14.g614250.t1.2.v5.5",17.781211500489,29.2837184996242,-0.719745137554871,11.5025069991352,0.575648962745737,-11.5250032680337
"Cre03.g199600.t1.1.v5.5",3.35826200009235,7.53582416656996,-1.16605051414282,4.17756216647761,0.575543743890518,-4.3372456071011
"Cre03.g199311.t1.1.v5.5",5.60964600015426,11.0171671665253,-0.973771676078368,5.40752116637101,0.575452101661779,-5.49449874345995
"Cre12.g509450.t1.1.v5.5",7.76511800021354,3.49286749995518,1.15259593233555,4.27225050025837,0.575441919191919,4.4249973695127
"Cre12.g506300.t1.2.v5.5",0.546087500015017,3.02793716662781,-2.47113122905866,2.48184966661279,0.57539779515586,-3.50229457911453
"Cre06.g292400.t1.1.v5.5",13.2156670003634,22.4564548330451,-0.76488094935243,9.24078783268172,0.57536724774628,-9.27238926249975
"Cre10.g440600.t1.2.v5.5",10.1412570002789,5.0675633332683,1.00087236486583,5.07369366701058,0.57536385358966,5.17147105932301
"Cre02.g096950.t1.2.v5.5",8.6618455002382,4.09502516661411,1.08080212134579,4.56682033362409,0.57533330618008,4.69297146647068
"Cre12.g517950.t1.1.v5.5",8.68652600023888,4.11227633328056,1.07884210299004,4.57424966695832,0.57533330618008,4.69975108903145
"Cre11.g482050.t1.2.v5.5",7.27819200020015,3.18106483329251,1.19407033452385,4.09712716690764,0.575282393830781,4.26758186630351
"Cre07.g321951.t1.1.v5.5",14.4077050003962,7.86202366656577,0.8738679355564,6.54568133383044,0.575251846421201,6.60375569603009
"Cre14.g633750.t1.1.v5.5",28.1138280007731,44.6397878327605,-0.667050264660811,16.5259598319873,0.575211116541762,-16.5394166893528
"Cre12.g486650.t1.2.v5.5",8.23436050022645,3.81252933328441,1.1109081736358,4.42183116694204,0.575183963288802,4.55924421798074
"Cre17.g729000.t1.1.v5.5",4.95240850013619,1.69116483331163,1.55011303814406,3.26124366682456,0.575122868469643,3.61089472090056
"Cre02.g105600.t2.1.v5.5",3.38842950009318,7.59467283323587,-1.16437106204595,4.20624333314269,0.575061773650483,-4.36442928087251
"Cre03.g161081.t1.1.v5.5",64.4253960017717,99.0974301653949,-0.621218145460823,34.6720341636232,0.575051591180623,-34.6775988936331
"Cre08.g358579.t1.1.v5.5",18.8959305005196,30.9980121662689,-0.71410013802824,12.1020816657492,0.575034620397524,-12.1231315942538
"Cre12.g547850.t1.2.v5.5",11.9211205003278,20.4039314997381,-0.775327317206325,8.48281099941032,0.574973525578364,-8.51816969193048
"Cre03.g167250.t1.2.v5.5",3.34288500009193,7.50574383323701,-1.16690132761819,4.16285883314508,0.574892065819485,-4.32331497500368
"Cre13.g588386.t1.1.v5.5",39.817234001095,24.8448428330145,0.680446588780767,14.9723911680805,0.574892065819485,14.9878452370645
"Cre12.g531550.t1.2.v5.5",123.443888503395,187.222782497597,-0.600900589334654,63.7788939942026,0.574824182687086,-63.7817246602974
"Cre10.g447250.t2.1.v5.5",1.2291110000338,4.19236333327953,-1.77014854395372,2.96325233324573,0.574817394373846,-3.45170831011946
"Cre07.g313164.t1.1.v5.5",7.28213000020026,13.4921368331602,-0.889686453877819,6.21000683295993,0.574780058651026,-6.27341428981242
"Cre17.g724100.t3.1.v5.5",3.04032650008361,0.55661483332619,2.44947500180673,2.48371166675742,0.574701993048767,3.48837375120026
"Cre16.g690200.t1.2.v5.5",3.11900700008577,7.16761999990802,-1.20040736258899,4.04861299982224,0.574691810578907,-4.22282429879429
"Cre15.g636050.t1.2.v5.5",41.2487245011343,64.2947034991749,-0.640350386574851,23.0459789980406,0.574508526121429,-23.0548735974785
"Cre02.g142352.t1.1.v5.5",4.18312500011504,8.76934149988746,-1.06788740384857,4.58621649977242,0.57447458455523,-4.70890276923226
"Cre06.g288600.t1.1.v5.5",9.27037700025494,16.4780698331219,-0.829847346097991,7.20769283286693,0.57443385467579,-7.25530720168259
"Cre01.g035500.t1.2.v5.5",8.04525350022124,3.69449949995259,1.12275894667007,4.35075400026866,0.574362577386771,4.49328922095845
"Cre13.g576300.t1.2.v5.5",30.6128680008419,18.6644948330938,0.713841750024914,11.948373167748,0.574328635820571,11.969677999004
"Cre02.g084200.t1.2.v5.5",15.9078110004375,26.4019273329945,-0.730907922943945,10.494116332557,0.574308270880852,-10.5195391530743
"Cre02.g141150.t1.1.v5.5",4.72170900012985,1.5614228333133,1.59644785867234,3.16028616681655,0.574287905941132,3.54062909969846
"Cre13.g587000.t1.2.v5.5",3.31668300009121,7.46095083323759,-1.16961837143505,4.14426783314638,0.574236993591832,-4.30615408545144
"Cre12.g507001.t1.2.v5.5",3.40842600009373,0.76783433332348,2.15023868509527,2.64059166677025,0.574087650700554,3.40532682036493
"Cre03.g156200.t2.1.v5.5",2.5710210000707,0.259839666663332,3.3066478021559,2.31118133340737,0.574067285760834,4.03428789793107
"Cre17.g738650.t1.2.v5.5",3.52935800009706,0.840281666655883,2.07046086444196,2.68907633344117,0.573979037688715,3.39380902795947
"Cre08.g362450.t1.2.v5.5",112.967175003107,171.054830497805,-0.598555217584175,58.0876554946982,0.573965461062235,-58.0907392724455
"Cre07.g315200.t1.1.v5.5",3.16986000008717,7.22695916657392,-1.18896961911369,4.05709916648675,0.573941701965896,-4.22773017136653
"Cre03.g162100.t1.2.v5.5",2.28502300006284,5.85371399992488,-1.35714357353587,3.56869099986204,0.573928125339416,-3.81803537590814
"Cre16.g669123.t1.1.v5.5",3.93561000010823,1.08184199998612,1.86309745071531,2.85376800012211,0.573914548712936,3.40809681631594
"Cre14.g611200.t1.2.v5.5",26.9067960007399,42.8671723327832,-0.671902646724654,15.9603763320433,0.573860242207016,-15.9745130075105
