"geneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_12g540351v5",12.596234603295,8.33338655647526,2.20502164615759,3.32576624327212,0.000881758432290806,0.0232250530231544
"CHLRE_06g249450v5",284.091791354859,8.22683586608885,1.22075821944541,5.91995675390333,3.22026285556945e-09,2.40534409861154e-07
"CHLRE_01g011150v5",153.626790302795,8.22663556779254,1.19230329790932,6.06107152472389,1.35217681680221e-09,1.07412204439471e-07
"CHLRE_02g108750v5",14.5000532661902,8.16790854258516,1.56238034884197,4.58781278700669,4.47914031000527e-06,0.000195771682807174
"CHLRE_13g587850v5",11.1030164818817,8.15133940862617,2.31866262154108,3.08425181921166,0.0020406478871657,0.0467387750632528
"CHLRE_03g181950v5",21.7671462565861,8.0204422996386,1.7029025256161,4.12263308911274,3.74566067726896e-05,0.00133893991852804
"CHLRE_04g217935v5",12.9208398999921,7.99976144714116,1.61778533068775,4.32675541950021,1.51321826267491e-05,0.000596291401224929
"CHLRE_09g392988v5",12.6454951971554,7.96719250009265,1.63087843134953,4.27204895605088,1.93685039454996e-05,0.000754316560274341
"CHLRE_17g706700v5",33.2302302790686,7.91175047991426,2.15133857283942,3.21276742172287,0.00131462699068834,0.0327315958950239
"CHLRE_15g635950v5",29.0297240566784,7.68545739129819,2.0590624041913,3.24684544659243,0.00116691739145062,0.0293531743696559
"CHLRE_12g506750v5",80.0547449067241,7.50367839906425,1.06271987244119,6.11984264877304,9.36678059474833e-10,7.56065378813194e-08
"CHLRE_16g670756v5",11.788741952566,7.49422646294933,1.40588955379553,4.61930060253784,3.85035695926274e-06,0.000170523109757791
"CHLRE_06g278163v5",8.59986690864096,7.4087669671748,1.87709231937258,3.41419913183435,0.000639698026810358,0.0174938184435652
"CHLRE_06g284100v5",137.781544947233,7.37166949704307,1.34511122050051,4.73690903765729,2.17002505705259e-06,0.000101022236260648
"CHLRE_11g479550v5",13.4108614486547,7.30830933119004,2.01281758811031,3.13406906241933,0.00172400274855168,0.040703710740277
"CHLRE_09g413650v5",7.6616332899623,7.24073244373706,1.95453996602895,3.19294184422148,0.00140831306334768,0.034633428626651
"CHLRE_09g399550v5",119.322242836853,7.06882566447651,1.51404875421098,4.00834229914821,6.11464495109954e-05,0.00207462648527306
"CHLRE_16g673250v5",79.7747672669503,7.03035711288687,0.659221425444635,9.14769587292992,5.81607678963202e-20,1.14143358014562e-17
"CHLRE_09g402041v5",10.5468177007606,6.95230514109396,1.55304535718355,3.83266664657398,0.000126761672886727,0.00406653071770272
"CHLRE_03g203450v5",46.0846437473978,6.94566476153739,1.2877826467919,4.61697847563727,3.89367637367605e-06,0.00017168196838821
"CHLRE_12g530876v5",9.47479123107145,6.79404963376147,1.59902596099367,3.62348690709244,0.00029065792345242,0.00863262657517883
"CHLRE_13g568350v5",12.2388664055877,6.7384371102886,1.7214460550359,3.33349807477349,0.000857612651368,0.0227085847289479
"CHLRE_10g442750v5",623.820981475239,6.69742647744837,0.360329594735495,15.8117083933409,2.58364549741795e-56,3.23246347295704e-53
